id,RT1_K,RT1_J,T1_Ja,RT1_I,T2_K,T2_J,T2_I,T2_Ja,U2_I,mean_confidence_interval_inf,T1_I,T1_J,T1_K,technique,RT2_J,VEC2,VEC1,SCR,T1_Ia,T1_Ka,OMP1,U1_K,U1_J,U1_I,T2_Ka,RT2_I,runs,T2_Ia,U2_J,U2_K,cost_mean,RT2_K,OMP2,cost_std,correct_result,mean_confidence_interval_sup
1,1,8,2048,8,1,1,1,2048,24,0.18188024448793583,256,128,32,DLMT,1,True,False,True,2048,128,True,4,23,1,2048,32,35,256,28,1,0.18616742857142857,1,True,0.012940708749161003,True,0.1904546126549213
2,1,32,1024,1,128,64,16,128,1,0.21218006103868012,128,512,16,DLMT,1,False,True,False,1,128,False,1,22,11,1,8,35,64,29,1,0.21220594285714287,1,False,7.812332479836645e-05,True,0.2122318246756056
3,1,1,512,1,128,128,512,2048,30,0.1265900649441018,1,32,16,DLMT,1,True,True,True,1,1,False,1,12,19,1,1,35,1024,1,28,0.12985040000000003,32,True,0.009841202421307206,True,0.13311073505589827
4,1,1,64,1,512,64,512,2048,1,0.22208248521013346,256,64,512,DLMT,8,True,True,False,2048,2048,True,6,24,1,2048,8,35,1,17,2,0.22354351428571426,1,True,0.004410062962760304,True,0.22500454336129505
5,1,1,2048,1,64,1,32,256,1,0.20120257087335247,256,1,256,DLMT,8,False,False,True,512,2048,True,6,11,1,1,8,35,1024,30,22,0.2023005714285714,1,False,0.0033142746182080276,True,0.20339857198379035
6,1,1,256,32,256,64,512,64,3,0.09747072346145765,16,16,16,DLMT,1,False,True,False,1024,1,True,5,1,8,2048,1,35,2048,1,5,0.09863642571428573,32,True,0.0035186297225192533,True,0.09980212796711381
7,1,1,1024,32,512,64,32,128,27,0.3308858283993413,128,1,256,DLMT,1,True,False,False,1,1024,False,30,30,1,2048,8,35,256,12,1,0.3336435142857143,1,True,0.008323974240954955,True,0.33640120017208736
8,1,32,512,1,128,256,32,512,1,0.11062159514917642,64,16,1,DLMT,32,True,False,True,64,2048,False,25,30,1,2048,1,35,512,28,8,0.1106386857142857,1,False,5.158724727713896e-05,True,0.11065577627939498
9,1,8,2048,1,32,512,128,1024,20,0.10366695320726635,512,32,1,DLMT,8,False,False,True,512,64,False,13,1,22,1,1,35,128,26,1,0.1040954,8,True,0.0012932510130895477,True,0.10452384679273366
10,1,1,1024,1,512,512,512,1,21,0.17895668172853946,512,64,512,DLMT,1,True,False,True,1,1,True,13,28,1,512,8,35,512,21,1,0.1822826285714286,1,False,0.01003924920666229,True,0.18560857541431774
11,32,1,512,1,512,512,256,1024,13,0.08508716138962542,16,512,512,DLMT,1,False,False,True,256,1,False,2,19,1,1,1,35,2048,4,1,0.08797355428571428,1,True,0.008712471654238552,True,0.09085994718180314
12,1,8,1024,8,32,128,16,1,1,0.2989088033374321,128,256,128,DLMT,1,False,True,False,512,256,True,29,1,10,128,1,35,1,2,19,0.3090508571428571,32,True,0.030613419404981634,True,0.31919291094828217
13,1,32,64,1,32,256,256,1,6,0.12383888989007136,1,16,512,DLMT,1,False,False,False,1,2048,False,15,1,13,2048,32,35,512,14,1,0.12509091428571428,1,True,0.0037791899613649517,True,0.1263429386813572
14,1,1,128,1,512,32,16,1024,25,0.11968872561285882,32,128,256,DLMT,1,False,False,False,256,512,True,20,1,30,512,1,35,2048,1,19,0.1208482,32,True,0.0034998311371509682,True,0.12200767438714119
15,1,8,2048,8,1,512,32,1024,24,0.186454381372837,1,32,32,DLMT,1,False,True,True,2048,2048,False,1,7,3,256,1,35,512,1,26,0.1874037142857143,1,True,0.002865526763555537,True,0.1883530471985916
16,1,1,2048,1,64,16,16,1,1,0.16545916141645245,512,256,1,DLMT,1,True,True,False,1,2048,False,1,29,4,2048,1,35,256,10,20,0.16648331428571428,1,True,0.003091368072288927,True,0.1675074671549761
17,32,1,2048,1,32,16,512,128,1,inf,64,16,256,DLMT,1,True,False,True,64,512,False,22,1,30,1024,1,1,1,21,22,inf,32,True,inf,False,inf
18,1,1,256,32,32,128,128,2048,1,0.2090195557611492,128,64,512,DLMT,32,False,True,True,1024,1024,False,1,28,28,2048,1,35,2048,11,22,0.20906268571428568,1,False,0.0001301861900572885,True,0.20910581566742217
